,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
392,63,1,611,6,1018,0,1699,0.1699,0.37466435221296746,0.1402427424923649,0.47060688151672875
393,63,1,613,6,1020,0,1703,0.1703,0.3756619874344742,0.1407777451633156,0.47051708281028953
394,63,1,616,6,1021,0,1707,0.1707,0.37658488627696834,0.14086626678576053,0.4701023401356868
395,63,2,619,6,1023,0,1713,0.1713,0.3760615983146667,0.1398266751349606,0.46938470998314336
396,63,2,621,6,1025,0,1717,0.1717,0.3762245836444087,0.13990699360737563,0.46929824229258604
397,64,2,622,6,1025,0,1719,0.1719,0.3770156524379006,0.13978141020638948,0.4686713640277249
398,64,2,624,6,1026,0,1722,0.1722,0.3768425631216329,0.13954452361439307,0.4684460982072789
399,65,2,625,6,1027,0,1725,0.1725,0.3770473255383296,0.13984992710745225,0.4679622640191135
400,65,2,626,6,1029,0,1728,0.1728,0.37770659879582247,0.1401537072109989,0.4680614336217876
401,65,2,627,6,1031,0,1731,0.1731,0.3780599405093332,0.14012755517671446,0.4681602460246574
402,65,2,629,6,1031,0,1733,0.1733,0.3778830948241693,0.13967245266254952,0.46779695513620895
403,66,2,631,6,1034,0,1739,0.1739,0.3780760035077824,0.14027276919396633,0.46741665869940857
404,66,2,632,6,1037,0,1743,0.1743,0.3785715210183906,0.14066943968607987,0.46765579751792447
405,66,2,634,6,1040,0,1748,0.1748,0.37922471444808215,0.1405102059641261,0.4677137680376429
406,66,2,636,6,1041,0,1751,0.1751,0.37965309101672734,0.14112928659087282,0.46749347882597664
407,66,2,637,6,1045,0,1756,0.1756,0.3810332404830694,0.14161501867506826,0.46786935478550423
408,66,2,637,6,1050,0,1761,0.1761,0.3827946988265351,0.14209644629067192,0.46855922990431065
409,66,2,639,6,1054,0,1767,0.1767,0.384520528259905,0.14267512288380102,0.468750978798324
410,66,2,642,6,1057,0,1773,0.1773,0.38611366674607783,0.14356272253598867,0.46862734922696464
411,66,2,642,6,1057,0,1773,0.1773,0.38611366674607783,0.14356272253598867,0.46862734922696464
412,66,2,643,6,1060,0,1777,0.1777,0.3868407507984973,0.1448990257011506,0.4688587555624381
413,66,2,645,6,1064,0,1783,0.1783,0.38759896756808604,0.14449112263596733,0.4690477102254655
414,66,2,649,6,1065,0,1788,0.1788,0.3883551250292572,0.1443039493653642,0.4684775535259817
415,67,2,651,6,1069,0,1795,0.1795,0.38875182108589806,0.1439857840380359,0.4682421591268892
416,68,2,652,6,1071,0,1799,0.1799,0.38897427774723264,0.1440235199017545,0.467913385547756
417,68,2,652,6,1074,0,1802,0.1802,0.38872461643294975,0.14365942964245038,0.4683178584097667
418,68,2,655,6,1078,0,1809,0.1809,0.3896928303818176,0.14428644377719582,0.46833206909171105
419,68,2,657,6,1079,0,1812,0.1812,0.3893606638910506,0.1439214508228517,0.46811843204126263
420,68,2,657,6,1080,0,1813,0.1813,0.38962225117664107,0.14432571548757184,0.46825232263517647
421,68,2,660,6,1080,0,1816,0.1816,0.3889778924370986,0.14364539311976238,0.467732130592168
422,69,2,663,6,1082,0,1822,0.1822,0.3902871228283316,0.14417353678650785,0.46706287194900425
423,69,2,664,6,1082,0,1823,0.1823,0.3902558467220741,0.14426101024963606,0.46689046646200055
424,69,3,665,6,1083,0,1826,0.1826,0.3910696576814998,0.14546325330531026,0.4664350130040211
425,70,3,667,6,1085,0,1831,0.1831,0.3915985099281983,0.14663037096939802,0.46594372752081376
426,71,3,668,6,1087,0,1835,0.1835,0.39137654035362707,0.1463460848275616,0.4656256314875482
427,71,3,669,6,1088,0,1837,0.1837,0.3916817741749622,0.14620389448394033,0.46558900148166965
428,72,3,670,6,1090,0,1841,0.1841,0.39189342468298427,0.14623082256529196,0.4652726208407085
429,72,3,673,6,1092,0,1846,0.1846,0.3926165212228119,0.14634035570884163,0.4650306251452698
430,72,3,673,6,1095,0,1849,0.1849,0.39272175817925686,0.1465911024609641,0.4654313711579712
431,72,3,674,6,1098,0,1853,0.1853,0.3932123671994012,0.14692332652217402,0.465661269534857
432,72,3,674,6,1100,0,1855,0.1855,0.39293251420882286,0.14677914225768365,0.4659266223406557
433,72,3,675,6,1101,0,1857,0.1857,0.3930659203031171,0.14694404399109384,0.46589009168200457
434,72,3,675,6,1102,0,1858,0.1858,0.3928541390960572,0.1467172989819867,0.4660223943829487
435,72,3,677,6,1107,0,1865,0.1865,0.39283498007330536,0.14574980938091842,0.46634453737534026
436,72,3,678,6,1109,0,1868,0.1868,0.3929715440567531,0.14537325488861294,0.4664390684748894
437,72,3,678,6,1113,0,1872,0.1872,0.3938400710994294,0.1459996275010643,0.466962469582914
438,73,3,680,6,1115,0,1877,0.1877,0.3950215769415769,0.14584824374225835,0.4664823549242314
439,73,3,684,6,1119,0,1885,0.1885,0.3956945500360264,0.14496234933641078,0.4663362247781088
440,73,3,687,6,1120,0,1889,0.1889,0.3957650825297884,0.1446723847898268,0.4659675418087839
