beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.80859375,0.01953125,0.50390625,0.05078125,0.67578125,0.12890625,0.06640625,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.80859375,0.91796875,0.73046875,0.05078125,0.67578125,0.12890625,0.06640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.80859375,0.91796875,0.50390625,0.25390625,0.67578125,0.12890625,0.06640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.80859375,0.91796875,0.50390625,0.05078125,0.46484375,0.12890625,0.06640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.80859375,0.91796875,0.50390625,0.05078125,0.67578125,0.98828125,0.06640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.80859375,0.91796875,0.50390625,0.05078125,0.67578125,0.12890625,0.67578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.80859375,0.91796875,0.50390625,0.05078125,0.67578125,0.12890625,0.06640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.51953125,0.23046875,0.75390625,0.96484375,0.48828125,0.17578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.30859375,0.51953125,0.23046875,0.75390625,0.96484375,0.48828125,0.17578125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.69921875,0.41796875,0.23046875,0.75390625,0.96484375,0.48828125,0.17578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.51953125,0.00390625,0.75390625,0.96484375,0.48828125,0.17578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.51953125,0.23046875,0.55078125,0.96484375,0.48828125,0.17578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.51953125,0.23046875,0.75390625,0.17578125,0.48828125,0.17578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.51953125,0.23046875,0.75390625,0.96484375,0.62890625,0.17578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.51953125,0.23046875,0.75390625,0.96484375,0.48828125,0.56640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.69921875,0.41796875,0.00390625,0.55078125,0.17578125,0.62890625,0.56640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.30859375,0.51953125,0.00390625,0.55078125,0.17578125,0.62890625,0.56640625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.30859375,0.41796875,0.23046875,0.55078125,0.17578125,0.62890625,0.56640625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.30859375,0.41796875,0.00390625,0.75390625,0.17578125,0.62890625,0.56640625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.30859375,0.41796875,0.00390625,0.55078125,0.96484375,0.62890625,0.56640625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.30859375,0.41796875,0.00390625,0.55078125,0.17578125,0.48828125,0.56640625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.30859375,0.41796875,0.00390625,0.55078125,0.17578125,0.62890625,0.17578125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.30859375,0.41796875,0.00390625,0.55078125,0.17578125,0.62890625,0.56640625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.94921875,0.26953125,0.98046875,0.00390625,0.71484375,0.23828125,0.92578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.05859375,0.26953125,0.98046875,0.00390625,0.71484375,0.23828125,0.92578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.94921875,0.16796875,0.98046875,0.00390625,0.71484375,0.23828125,0.92578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.94921875,0.26953125,0.25390625,0.00390625,0.71484375,0.23828125,0.92578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.94921875,0.26953125,0.98046875,0.80078125,0.71484375,0.23828125,0.92578125,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.94921875,0.26953125,0.98046875,0.00390625,0.42578125,0.23828125,0.92578125,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.94921875,0.26953125,0.98046875,0.00390625,0.71484375,0.37890625,0.92578125,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.94921875,0.26953125,0.98046875,0.00390625,0.71484375,0.23828125,0.31640625,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.94921875,0.16796875,0.25390625,0.80078125,0.42578125,0.37890625,0.31640625,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.05859375,0.26953125,0.25390625,0.80078125,0.42578125,0.37890625,0.31640625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.05859375,0.16796875,0.98046875,0.80078125,0.42578125,0.37890625,0.31640625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.05859375,0.16796875,0.25390625,0.00390625,0.42578125,0.37890625,0.31640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.05859375,0.16796875,0.25390625,0.80078125,0.71484375,0.37890625,0.31640625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.05859375,0.16796875,0.25390625,0.80078125,0.42578125,0.23828125,0.31640625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.05859375,0.16796875,0.25390625,0.80078125,0.42578125,0.37890625,0.92578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.05859375,0.16796875,0.25390625,0.80078125,0.42578125,0.37890625,0.31640625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.44921875,0.76953125,0.48046875,0.50390625,0.21484375,0.73828125,0.42578125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.55859375,0.76953125,0.48046875,0.50390625,0.21484375,0.73828125,0.42578125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.44921875,0.66796875,0.48046875,0.50390625,0.21484375,0.73828125,0.42578125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.44921875,0.76953125,0.75390625,0.50390625,0.21484375,0.73828125,0.42578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.44921875,0.76953125,0.48046875,0.30078125,0.21484375,0.73828125,0.42578125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.44921875,0.76953125,0.48046875,0.50390625,0.92578125,0.73828125,0.42578125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.44921875,0.76953125,0.48046875,0.50390625,0.21484375,0.87890625,0.42578125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.44921875,0.76953125,0.48046875,0.50390625,0.21484375,0.73828125,0.81640625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.44921875,0.66796875,0.75390625,0.30078125,0.92578125,0.87890625,0.81640625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.55859375,0.76953125,0.75390625,0.30078125,0.92578125,0.87890625,0.81640625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.55859375,0.66796875,0.48046875,0.30078125,0.92578125,0.87890625,0.81640625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.55859375,0.66796875,0.75390625,0.50390625,0.92578125,0.87890625,0.81640625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
