,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
289,338,26,946,25,936,3,2274,0.2274,0.38031059801825623,0.09953977332946286,0.29447980094934784
290,338,26,947,25,937,3,2276,0.2276,0.3805334273756451,0.09940078094941839,0.29460530640356736
291,341,26,949,25,942,3,2286,0.2286,0.381968254350401,0.09948793474566672,0.29457682379993483
292,342,27,950,25,945,3,2292,0.2292,0.3820358354589559,0.09906109788534873,0.29451647690306554
293,342,27,951,25,949,3,2297,0.2297,0.3826754564445125,0.09936069934051708,0.2953006771053153
294,344,27,952,26,955,3,2307,0.2307,0.38497479906197385,0.10072910021777966,0.29579864898691693
295,345,28,952,26,958,3,2312,0.2312,0.38549655781067854,0.1007027787759013,0.2958310687551635
296,346,28,956,26,959,3,2318,0.2318,0.38608199672993293,0.10130692178876533,0.2953574084579344
297,349,30,961,26,961,3,2330,0.233,0.38731291861557515,0.1013147349406131,0.29377621652664737
298,351,30,961,27,967,3,2339,0.2339,0.38874054370141625,0.10130424592134944,0.2943686070309444
299,352,30,962,27,970,3,2344,0.2344,0.38837677902606355,0.10055711791746903,0.2946158991947274
300,354,30,967,27,973,3,2354,0.2354,0.3895732948217735,0.10136043873153751,0.294183136048266
301,354,30,968,27,974,3,2356,0.2356,0.3894900054741299,0.10095915213267172,0.29430452083450964
302,354,30,971,27,975,3,2360,0.236,0.39066311583452834,0.10219294141438585,0.2942392929208986
303,356,30,972,27,976,3,2364,0.2364,0.39077536705924854,0.10215190824005568,0.2937537787287206
304,359,30,973,28,981,3,2374,0.2374,0.39180528068399595,0.10165171870598685,0.2937301440092739
305,359,30,975,28,985,3,2380,0.238,0.3926451978362195,0.10196495531435691,0.294396572106913
306,361,31,976,28,989,3,2388,0.2388,0.39293775277983267,0.10106539738118686,0.29425074142633756
307,362,31,977,28,991,3,2392,0.2392,0.39371614025098584,0.10177475427529636,0.2942820112241183
308,362,31,979,28,992,3,2395,0.2395,0.3939481761777479,0.10166914475753484,0.29430954410401106
309,362,31,982,28,993,3,2399,0.2399,0.39457838967182174,0.10162073185270065,0.29424539899201596
310,364,32,983,28,994,3,2404,0.2404,0.3950133116780372,0.10190728450943264,0.2934700395508451
311,364,32,984,28,999,3,2410,0.241,0.3967929042476554,0.10270656678758971,0.2944296564079396
312,365,32,984,28,1004,4,2417,0.2417,0.3981002848659053,0.10304963690059751,0.29538628597489885
313,366,32,986,28,1005,4,2421,0.2421,0.3981356378101728,0.10299425807681313,0.29511622583040964
314,367,32,987,28,1008,4,2426,0.2426,0.3983794520158322,0.10323499891839587,0.2953531491889316
315,368,32,990,28,1011,4,2433,0.2433,0.39853514003171187,0.10307140689027165,0.2954077784931968
316,371,32,992,28,1015,4,2442,0.2442,0.3992811169067535,0.10275161852478745,0.295171645264613
317,373,33,994,28,1017,4,2449,0.2449,0.400383538304437,0.10292642431948283,0.29452567303579347
318,373,33,997,28,1018,4,2453,0.2453,0.40052685807533706,0.10286394082277901,0.2944626790736364
319,375,33,1001,28,1020,4,2461,0.2461,0.40180836151059135,0.1037208474420558,0.29393381446519157
320,375,34,1002,28,1021,4,2464,0.2464,0.40187893620332676,0.10360283073045483,0.2937594887281021
321,375,34,1006,28,1023,4,2470,0.247,0.40279824952387894,0.10292292438738054,0.2938140770866253
322,378,34,1006,28,1027,5,2478,0.2478,0.40445496543502063,0.10356269719941776,0.29396813535865185
323,380,35,1007,28,1030,5,2485,0.2485,0.40591416512935724,0.10398943010815703,0.2936261401853395
324,381,35,1008,28,1032,5,2489,0.2489,0.4065099440214885,0.10440527622709038,0.29365722635957753
325,381,35,1010,28,1036,5,2495,0.2495,0.4072343606796123,0.10466013122980168,0.2942923244083467
326,382,35,1011,28,1039,6,2501,0.2501,0.40774098341353004,0.10515477650681634,0.2947256349200377
327,382,36,1015,28,1044,6,2511,0.2511,0.40854238183794306,0.10532440403675657,0.29509417373509966
328,382,36,1016,28,1046,6,2514,0.2514,0.40883599460868353,0.10593037345949091,0.2954071135415422
329,386,36,1019,28,1048,6,2523,0.2523,0.40984406974425897,0.10604939367844016,0.29440867558010203
330,386,36,1024,28,1054,6,2534,0.2534,0.4118854880830668,0.1057529469575414,0.2951697971749104
331,387,36,1026,28,1055,6,2538,0.2538,0.41224819155284076,0.10566822998089281,0.2949126924797422
332,389,36,1026,28,1057,6,2542,0.2542,0.4127722667055251,0.10558277081632694,0.2947459377573196
333,390,36,1028,29,1062,6,2551,0.2551,0.41368286487244715,0.10520841928035288,0.2951945947674906
334,392,36,1033,29,1064,6,2560,0.256,0.4154616168720578,0.10530833292839241,0.2945987558898602
335,393,36,1033,29,1066,6,2563,0.2563,0.41588653809282283,0.10542690493919085,0.2947129868280715
336,393,36,1035,29,1068,6,2567,0.2567,0.4165325586397704,0.10613679962194725,0.2949344330706441
337,394,36,1037,29,1070,6,2572,0.2572,0.4170661360391304,0.10584335185773175,0.2948768905218966
338,397,36,1040,30,1073,6,2582,0.2582,0.41772221849004015,0.10549162063184361,0.2942901400422044
339,398,36,1040,30,1076,6,2586,0.2586,0.4178654138858232,0.10516060045296328,0.2945988159936584
340,400,37,1045,30,1079,6,2597,0.2597,0.41927815068389,0.10504011180176359,0.2939318426789382
341,401,37,1047,30,1080,6,2601,0.2601,0.41983634709123013,0.10517896063460162,0.29368259548880493
342,401,37,1050,33,1081,6,2608,0.2608,0.4208019738767631,0.10463794163404595,0.2933725105840927
343,401,37,1052,33,1084,6,2613,0.2613,0.4217718064933082,0.10457390583331663,0.29378604742832365
344,401,37,1053,33,1088,6,2618,0.2618,0.4221652415217959,0.10497768352457243,0.29447438468440906
345,402,37,1054,33,1088,6,2620,0.262,0.42224180832352015,0.1050446882720535,0.2941174759083121
346,403,37,1054,33,1089,6,2622,0.2622,0.4223139709970724,0.10487712055156105,0.2940372519013015
347,405,37,1055,33,1090,6,2626,0.2626,0.42250565767493525,0.10477586694354263,0.29360131441574744
348,406,38,1055,33,1091,6,2629,0.2629,0.4227884346705522,0.1049658913737732,0.2932497267086176
349,406,38,1058,33,1093,6,2634,0.2634,0.42331882309199786,0.10512944817630646,0.2933849999540758
350,407,38,1060,33,1099,6,2643,0.2643,0.4244139482307323,0.10544363846950347,0.29409730771210674
351,410,38,1060,33,1102,6,2649,0.2649,0.42406964546853976,0.10493575729899982,0.2938592308283621
352,410,38,1060,33,1105,6,2652,0.2652,0.4244934606112077,0.10503008930153088,0.29443032370990235
353,412,38,1060,33,1106,6,2655,0.2655,0.42470548821630955,0.10512373557315707,0.29408162300426266
354,412,38,1061,33,1109,6,2659,0.2659,0.42494022952903,0.1047839843780347,0.2945683594349813
355,413,38,1061,33,1111,6,2662,0.2662,0.4249120696913984,0.10464487486990884,0.2946782913966824
356,413,38,1063,33,1115,6,2668,0.2668,0.425279737363356,0.1043658356834829,0.2952685089011391
357,413,38,1065,33,1119,6,2674,0.2674,0.4259469765009954,0.1049389251697798,0.29585568078333085
358,413,38,1068,33,1120,6,2678,0.2678,0.42612459846978235,0.10459692505915728,0.2957963329184981
359,414,38,1070,33,1122,6,2683,0.2683,0.42757391951890705,0.10520496474041806,0.2957396543291398
360,415,38,1071,34,1126,6,2690,0.269,0.4280411826887344,0.10494834457342628,0.29605626835245175
361,416,38,1071,34,1129,6,2694,0.2694,0.42904694763329065,0.10506311787876746,0.29634890094166016
362,416,38,1071,34,1130,6,2695,0.2695,0.4290237579377641,0.1050845181651416,0.29653468340441275
363,416,38,1075,35,1131,6,2701,0.2701,0.4295960713722867,0.10479610001701131,0.29631157971463784
364,417,38,1077,37,1133,6,2708,0.2708,0.4308511460115887,0.10475583913240563,0.2960916238165449
365,418,38,1079,37,1134,6,2712,0.2712,0.4312919521004768,0.10532262534154277,0.29585013389415993
366,418,38,1082,38,1137,6,2719,0.2719,0.4333259395911115,0.1061953173705371,0.2960797340976007
367,419,38,1087,38,1138,6,2726,0.2726,0.43336052223544924,0.10614529373145125,0.29559676181597433
368,420,38,1089,38,1142,6,2733,0.2733,0.4342009426242111,0.10723424251484476,0.29590893922570666
369,422,38,1089,38,1144,6,2737,0.2737,0.434309481995674,0.10665541901692181,0.2957527266947057
370,422,38,1093,38,1146,6,2743,0.2743,0.43452343735531335,0.10635356633392538,0.29579762603078813
371,424,38,1094,38,1148,6,2748,0.2748,0.43473047165306605,0.10602594656043945,0.29556204568815164
372,425,38,1094,39,1153,6,2755,0.2755,0.43581118658525075,0.10618063604999797,0.29613375888307747
373,425,39,1096,39,1153,6,2758,0.2758,0.4358694588638927,0.10580274233868776,0.2957144376135668
374,426,39,1100,39,1156,6,2766,0.2766,0.43709656655280577,0.106444639574342,0.2956818958818788
375,428,39,1101,39,1158,6,2771,0.2771,0.43749224965012257,0.10701097734437355,0.2954484945443214
376,428,39,1103,40,1161,6,2777,0.2777,0.43827762724901126,0.10737283028202356,0.2957535327831713
377,428,39,1104,41,1162,6,2780,0.278,0.438580304374422,0.10720941000908535,0.2957756806086979
378,430,39,1106,41,1162,6,2784,0.2784,0.43871983020190164,0.1075227556899013,0.29510333185904064
379,431,39,1106,41,1165,6,2788,0.2788,0.4396452170360458,0.10805802248014132,0.2953879622703098
380,431,39,1111,44,1168,6,2799,0.2799,0.4402586395888745,0.10740974242148667,0.2952979041774877
381,432,39,1113,44,1168,6,2802,0.2802,0.44008010996880376,0.10702810827712865,0.2948855207661052
382,433,39,1116,44,1168,6,2806,0.2806,0.4402486994877843,0.10755732373690173,0.29439558664288024
383,433,39,1119,44,1173,7,2815,0.2815,0.4409281266322819,0.10796414126662697,0.29523622177868863
384,433,39,1121,44,1175,7,2819,0.2819,0.4422271085485998,0.10826600320518671,0.2954369813749362
385,435,39,1121,44,1177,7,2823,0.2823,0.4425872682184522,0.10834495937227843,0.2952861592978375
386,435,41,1122,45,1178,7,2828,0.2828,0.4431510177095287,0.10842286866955257,0.2948024021320223
387,437,42,1123,45,1181,7,2835,0.2835,0.44377455465041205,0.1076594349049891,0.2945010220500512
388,437,42,1126,45,1183,7,2840,0.284,0.44396778000964116,0.10731341510992662,0.2946241694641804
389,438,42,1131,45,1184,7,2847,0.2847,0.44453473045263214,0.10656423803705736,0.29416432746796434
390,438,42,1131,45,1184,7,2847,0.2847,0.44453473045263214,0.10656423803705736,0.29416432746796434
391,439,42,1132,45,1187,7,2852,0.2852,0.4450812347646476,0.10665695463254223,0.2943675310465072
392,439,42,1132,46,1189,7,2855,0.2855,0.4453243469923036,0.10691319137060595,0.2946438962742488
393,440,43,1134,47,1193,7,2864,0.2864,0.4462652692553625,0.10751250925597315,0.2946182275942862
394,440,43,1138,47,1194,7,2869,0.2869,0.4473076366856662,0.10759202019698948,0.2944877992059565
395,440,43,1139,47,1199,8,2876,0.2876,0.44888837196523595,0.1083439612851378,0.2954625191763703
396,440,43,1140,47,1201,8,2879,0.2879,0.4493029266354515,0.10817521509381262,0.29573509698058115
397,441,43,1142,47,1206,8,2887,0.2887,0.44978675884424546,0.10808707099153546,0.29620399575613465
398,442,44,1146,47,1207,8,2894,0.2894,0.4503027776751129,0.1075527737899404,0.2955777153755352
