beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.96875,0.59375,0.34375,0.78125,0.65625,0.28125,0.40625,744.0,1809.0,1894.0,1572.0,1691.0,410.0,8120.0
0.96875,0.59375,0.34375,0.78125,0.65625,0.34375,0.53125,755.0,1604.0,1913.0,1464.0,1691.0,411.0,7838.0
0.96875,0.09375,0.03125,0.46875,0.53125,0.28125,0.53125,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.59375,0.03125,0.46875,0.53125,0.28125,0.53125,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.09375,0.34375,0.46875,0.53125,0.28125,0.53125,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.09375,0.03125,0.78125,0.53125,0.28125,0.53125,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.09375,0.03125,0.46875,0.65625,0.28125,0.53125,748.0,2095.0,1869.0,1637.0,1675.0,408.0,8432.0
0.71875,0.09375,0.03125,0.46875,0.53125,0.34375,0.53125,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.09375,0.03125,0.46875,0.53125,0.28125,0.40625,586.0,961.0,1812.0,1145.0,1757.0,379.0,6640.0
0.71875,0.09375,0.03125,0.46875,0.53125,0.28125,0.53125,690.0,1526.0,1817.0,1416.0,1760.0,366.0,7575.0
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,0.65625,816.0,2779.0,1999.0,1771.0,1674.0,443.0,9482.0
0.96875,0.34375,0.59375,0.03125,0.90625,0.09375,0.65625,761.0,2573.0,1919.0,1941.0,1694.0,425.0,9313.0
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,0.65625,755.0,1604.0,1913.0,1464.0,1691.0,411.0,7838.0
0.71875,0.34375,0.28125,0.03125,0.90625,0.09375,0.65625,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.34375,0.59375,0.21875,0.90625,0.09375,0.65625,755.0,1604.0,1913.0,1464.0,1691.0,411.0,7838.0
0.71875,0.34375,0.59375,0.03125,0.78125,0.09375,0.65625,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.34375,0.59375,0.03125,0.90625,0.53125,0.65625,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,0.28125,748.0,2095.0,1869.0,1637.0,1675.0,408.0,8432.0
0.71875,0.34375,0.28125,0.21875,0.78125,0.53125,0.28125,748.0,2095.0,1869.0,1637.0,1675.0,408.0,8432.0
