Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
168,15,604,12,483,2,1284,0.1284,0.2504030372502703,0.07050375207603904,0.2772788056130769
168,15,605,12,485,2,1287,0.1287,0.2511149016009047,0.07032004638498288,0.2779543844550932
170,16,609,12,490,2,1299,0.1299,0.2509477596534607,0.06918969224157807,0.2777142350071958
172,16,610,12,491,2,1303,0.1303,0.25159555626145486,0.07008249467923844,0.27686035864777764
174,16,613,12,492,2,1309,0.1309,0.25193985847655576,0.07056535260946163,0.27568897034662526
174,16,618,12,498,2,1320,0.132,0.25374775380461506,0.07087823300302808,0.27735837380357503
177,17,621,12,502,2,1331,0.1331,0.2541801723756611,0.07158278918190891,0.2763417578535983
178,18,624,12,506,2,1340,0.134,0.25523734418431954,0.07156607483798282,0.2764134593660281
179,18,626,12,506,2,1343,0.1343,0.2546667688992577,0.07096316580830413,0.2755634134429525
180,19,631,12,511,2,1355,0.1355,0.2566567479787568,0.07183775546530627,0.27572978874407045
181,19,633,12,516,2,1363,0.1363,0.256636003497237,0.07104234123236118,0.2768833920847135
183,19,636,12,517,2,1369,0.1369,0.25880568221576994,0.07105941283844898,0.27576445605461153
186,19,639,12,519,2,1377,0.1377,0.2591005550489562,0.07067946502553162,0.27452789816602374
