Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
81,8,260,4,173,2,528,0.0528,0.10373464296614202,0.029712117549709115,0.22776830139209045
81,8,265,4,175,2,535,0.0535,0.10753963576997284,0.03223086714117358,0.22844038112153622
82,8,269,5,179,2,545,0.0545,0.10857918123543123,0.031187772872371296,0.23010064584508516
82,8,272,5,183,2,552,0.0552,0.11060483678451011,0.03358330598402799,0.23363324650903974
84,8,276,5,189,2,564,0.0564,0.11573142665505011,0.03674068191547781,0.23639754552823655
84,8,279,5,191,2,569,0.0569,0.1166248315456062,0.03754651575080985,0.23757416311013912
85,8,284,5,192,2,576,0.0576,0.11580132427958514,0.03700883033917649,0.2357895900684054
86,8,285,5,196,2,582,0.0582,0.11707655033816823,0.03683255152452718,0.23847321620630998
88,8,287,5,199,2,589,0.0589,0.11697448904081557,0.03629290408721704,0.2385403231545545
90,8,290,5,201,2,596,0.0596,0.11852749025017933,0.03663189185788057,0.23727124735670393
92,8,294,5,201,2,602,0.0602,0.11943990101228037,0.03714975845410627,0.23368432398302405
93,8,299,5,203,2,610,0.061,0.11989608184189464,0.03810625025440632,0.23304981494792157
93,9,300,6,206,2,616,0.0616,0.12425558181655744,0.042198731394324424,0.23432237033372916
93,9,303,6,210,2,623,0.0623,0.12606094924935504,0.04157654072444089,0.23738762030506702
93,10,303,6,216,2,630,0.063,0.13038829535644822,0.042624250043800875,0.24206421166756575
98,10,311,6,219,2,646,0.0646,0.13009421565322185,0.040949971347825645,0.23703390875266392
99,10,315,6,224,2,656,0.0656,0.1323444861288898,0.04211758411218442,0.23947765040421545
100,10,318,6,228,2,664,0.0664,0.13215568000311204,0.04126803024044872,0.24121826832973067
100,10,319,6,231,2,668,0.0668,0.13366425449758781,0.04202794025471395,0.24364011583241987
102,10,321,6,235,2,676,0.0676,0.13236098306573083,0.040388473846098095,0.24452631227993069
103,10,324,7,238,2,684,0.0684,0.1330560690531365,0.04129973417938606,0.24499682772543632
104,10,329,7,239,2,691,0.0691,0.1351046389507928,0.042171332868618475,0.24345523106573852
107,10,333,7,240,2,699,0.0699,0.1358512004494788,0.0421878622603559,0.240186908690352
109,10,337,7,247,2,712,0.0712,0.13720013554520596,0.04030251489178389,0.24308702956761286
110,10,339,7,249,2,717,0.0717,0.13837689117409396,0.04004449918233035,0.24324467550587192
111,10,340,7,251,2,721,0.0721,0.13823293072249956,0.03998379933931394,0.24366243926945183
113,10,346,7,252,2,730,0.073,0.1389556528636199,0.03965691056320919,0.24098413077475053
114,11,352,7,254,2,740,0.074,0.14151001437586802,0.040032881063146085,0.2391815713334974
115,11,355,7,259,3,750,0.075,0.14280502251758936,0.041608813219993844,0.2423352225500781
116,11,359,7,264,3,760,0.076,0.14328372814520574,0.04172885134484733,0.24435909259082353
118,11,364,7,267,3,770,0.077,0.14325393573440448,0.041821437045665336,0.24361392462487105
118,11,366,7,270,3,775,0.0775,0.14460355298000835,0.04289207979596829,0.24543724256288538
120,11,369,7,277,3,787,0.0787,0.14730013086700985,0.044573124032093805,0.24819576920492636
122,11,373,7,280,3,796,0.0796,0.1459278511860376,0.04278631580319622,0.24767228889215046
122,11,374,8,284,3,802,0.0802,0.1463363684926185,0.042932505631937866,0.2501336056481298
123,11,379,9,289,3,814,0.0814,0.14913945523551436,0.04332135923221933,0.2514347061166416
125,11,381,9,293,3,822,0.0822,0.15182646621671012,0.043697027144683986,0.25207656520209243
126,11,383,9,297,3,829,0.0829,0.15378601648250984,0.04489611879330172,0.25355960289238216
127,11,388,9,299,3,837,0.0837,0.15436850574575126,0.04521857613691339,0.2529277231459172
129,11,390,9,302,3,844,0.0844,0.15484023761933502,0.044469409504932084,0.25284900804715643
130,11,394,9,305,3,852,0.0852,0.15721625106919224,0.04289450111072966,0.25314539533220265
133,11,398,9,310,3,864,0.0864,0.16071069945779923,0.046143974936120796,0.25313693411892446
135,11,404,9,313,3,875,0.0875,0.16149030427380945,0.04520541835512398,0.25216570313040626
137,11,405,9,315,3,880,0.088,0.16117945266578523,0.04484112314056861,0.25165673187315774
139,11,409,9,318,3,889,0.0889,0.16139752768839577,0.04368586451586119,0.2511552344318317
144,11,414,9,320,3,901,0.0901,0.1635027498764985,0.044944355111712915,0.24744044571146975
146,11,420,9,321,3,910,0.091,0.16543345298851908,0.046233650414142874,0.24527135933874314
147,11,423,9,325,3,918,0.0918,0.1662790296796847,0.046629882499050576,0.24646662844928477
149,11,425,9,327,3,924,0.0924,0.16607496203483188,0.04604006546969999,0.24580577372060283
151,11,428,9,330,3,932,0.0932,0.1700849747623941,0.049675882989759924,0.24558605470398476
153,11,429,9,335,3,940,0.094,0.1733276999001946,0.05287518376354357,0.24703303408676414
153,11,433,9,337,3,946,0.0946,0.17459438219501777,0.05346692308099246,0.24747218325219075
156,11,436,9,340,3,955,0.0955,0.17585739432539013,0.053911824170090654,0.2465049815552566
156,11,440,9,349,3,968,0.0968,0.17783618210636845,0.05464609622799555,0.2511941231400063
159,11,443,9,352,3,977,0.0977,0.17870418185802803,0.054497098379284854,0.25021757193975186
160,11,447,9,354,3,984,0.0984,0.18064533622069262,0.0558361903781919,0.24990214490253804
162,11,450,9,357,3,992,0.0992,0.18138615312857737,0.0547725251953922,0.24966316088543086
163,11,457,9,360,3,1003,0.1003,0.18237087310513886,0.05474030685855619,0.24936414800737192
164,11,463,9,364,3,1014,0.1014,0.1836102385756536,0.054869570919450286,0.2498385894682659
167,11,463,9,369,3,1022,0.1022,0.1857563705357823,0.05538958089082767,0.2506252640729527
168,11,464,9,372,3,1027,0.1027,0.1852973963705671,0.054393588718497546,0.25145190810880447
168,11,469,10,374,3,1035,0.1035,0.186713138963865,0.054902779492318456,0.2514524853431781
172,11,474,10,377,3,1047,0.1047,0.19129572978855275,0.05667752421934966,0.24949300828894083
172,11,479,10,378,3,1053,0.1053,0.19236032758868155,0.05754048339957647,0.249134457060725
173,11,486,10,384,3,1067,0.1067,0.1950384435595703,0.05729784829546947,0.2505047765696653
174,11,492,10,385,3,1075,0.1075,0.19594859939687526,0.05721605635053623,0.24931056470433224
174,11,493,10,389,3,1080,0.108,0.19848307227713535,0.05823319807437787,0.25129964312538045
176,11,494,10,393,3,1087,0.1087,0.2009517134171512,0.059837042728527856,0.25196297847022686
177,11,500,10,396,3,1097,0.1097,0.20232738088902472,0.06180135113859189,0.2518452256391841
181,11,504,10,397,3,1106,0.1106,0.20614462599956707,0.06440909251404109,0.2491080669627411
182,11,509,11,401,3,1117,0.1117,0.20993433058065014,0.06774358111558011,0.24954135278582953
183,11,511,11,403,3,1122,0.1122,0.21169462798149125,0.06882521782207068,0.2496118917159181
183,11,514,11,406,3,1128,0.1128,0.214081639348306,0.0700032809958118,0.25065516917045566
